ItiEuropeen	route	longueur	prD	depPrD	concessionPrD	absD	xD	yD	zD	prF	depPrF	concessionPrF	absF	xF	yF	zF
E9	A0020	47308	382	46	C	31	580701,89	6353799,94	0	429	82	C	339	564840,01	6315369,93	0
E17	A0022	17800	0	59	N	0	707095,37	7055109,56	0	24	59	N	983	711920,46	7074231,73	0
E42	A0022	2402	0	59	N	0	707095,37	7055109,56	0	2	59	N	811	709125,14	7055891,37	0
E42	A0025	62840	0	59	N	0	705956,48	7057646,18	0	62	59	N	1068	659969,09	7094882,72	0
E15	A0026	106275	0	62	C	0	623020,4	7093820,09	0	106	62	C	275	693798,71	7023261,8	0
E17	A0026	23957	106	62	C	275	693798,71	7023261,8	0	130	62	C	232	707418,67	7007299,27	0
E17	A0026	639	130	62	C	232	707418,67	7007299,27	0	130	62	C	871	707661,13	7006728,69	0
E17	A0026	373	130	62	C	871	707661,13	7006728,69	0	131	62	C	244	707850,57	7006404,45	0
E17	A0026	190	131	62	C	244	707850,57	7006404,45	0	131	62	C	434	707958,64	7006246,43	0
E17	A0026	195	131	62	C	434	707958,64	7006246,43	0	131	62	C	629	708088,5	7006074,79	0
E17	A0026	1316	131	62	C	629	708088,5	7006074,79	0	132	59	C	945	709031,04	7005173,65	0
E17	A0026	721	132	59	C	945	709031,04	7005173,65	0	133	62	C	666	709546,26	7004743,8	0
E17	A0026	15189	133	62	C	666	709546,26	7004743,8	0	148	59	C	855	712407,23	6990310,04	0
E17	A0026	2836	148	59	C	855	712407,23	6990310,04	0	151	2	C	691	713537,94	6987727,36	0
E17	A0026	1208	151	2	C	691	713537,94	6987727,36	0	152	80	C	899	713812,97	6986539,73	0
E17	A0026	92537	152	80	C	899	713812,97	6986539,73	0	245	2	C	436	768416,68	6921734,82	0
E44	A0026	1933	167	2	C	67	717012,65	6973844,27	0	168	2	C	1000	716913,32	6971942,05	0
E17	A0026	58878	245	2	C	436	768416,68	6921734,82	0	339	51	C	218	788723,11	6845594,25	0
E17	A0026	34125	339	51	C	218	788723,11	6845594,25	0	373	10	C	343	784805,83	6813178,37	0
E17	A0026	21154	373	10	C	343	784805,83	6813178,37	0	394	10	C	267	787148,2	6792705,76	0
E42	A0027	10965	0	59	N	0	708621,84	7055965,58	0	12	59	N	1287	719468,26	7056319,94	0
E402	A0028	28814	0	80	N	0	616025,79	7004300,95	0	28	80	N	611	602472,42	6982165,61	0
E402	A0028	68350	29	76	N	0	602472,42	6982165,61	0	97	76	N	358	565662,56	6933861,55	0
E44	A0028	19485	55	76	N	534	589912,19	6961540,31	0	74	76	N	1000	574667,41	6951280,48	0
E502	A0028	31289	16	37	C	0	531574,07	6709568,24	0	48	37	C	189	511104,39	6730111,09	0
E502	A0028	604	48	37	C	189	511104,39	6730111,09	0	48	37	C	793	510555,5	6730401,88	0
E502	A0028	233	48	37	C	793	510555,5	6730401,88	0	49	37	C	26	510379,17	6730483,37	0
